experimentation ,/n./@试验;
democratization ,/n./@民主化;
heteronormative ,/adj./@異性戀常態化的;
neoconservative ,/n./@新保守主義者;,/adj./@新保守主義的;,/adj./@新保守主義者的;
differentiation ,/n./@區分;,/n./@區別;,/n./@微分;
dichotomization ,/n./@二分;
contemporaneous ,/adj./@同時存在的;,/adj./@同時發生的;,/adj./@同時期的;
hypoproteinemia ,/n./@低蛋白血症;
