archaeological ,/adj./@考古学的;
radicalization ,/n./@激進化;
authentication ,/n./@證明;,/n./@鑑定;,/n./@證實;
demoralization ,/n./@士氣低落;,/n./@意志消沉;,/n./@道德敗壞;,/n./@墮落;,/n./@士氣渙散;
detoxification ,/n./@解毒;,/n./@戒毒;,/n./@解毒作用;,/n./@去毒;
reconciliation ,/n./@和解;,/n./@调和;,/n./@调停;,/n./@和谐;,/n./@和好;,/n./@調解;,/n./@对账;
septuagenarian ,/n./@七十多歲的人;,/adj./@七十多歲的;,/adj./@七十多歲的人的;
identification ,/n./@鉴定;
mountaineering ,/n./@登山;,/n./@登山運動;
