1488591436 3 2 7609 2536 
1488607497 2 0 2875 1437 
1488624573 5 0 5110 1022 
1488818278 17 7 523457 30791 
1488878645 5 5 12906 2581 
1488893989 23 23 51095 2221 
1488901712 1 0 2562 2562 
1489336506 2 2 5735 2867 
1489589245 21 19 64844 3087 
1489777150 5 0 1719 343 
1489950668 10 9 33610 3361 
1490377084 2 0 2766 1383 
1491321853 3 0 4166 1388 
1491329483 10 10 30837 3083 
1493469395 42 37 133644 3182 
1493583020 1 0 1501 1501 
1493739596 18 16 44111 2450 
1495216982 3 3 7565 2521 
1495217020 5 5 18169 3633 
1495731688 1 0 1395 1395 
1495731750 1 0 2481 2481 
1503556381 12 10 59852 4987 
1506949271 10 8 40906 4090 
1512742508 8 7 72197 9024 
1544522691 1 1 18721 18721 
1553662872 5 5 53940 10788 
1553663047 20 19 83635 4181 
1572446540 1 1 5641 5641 
1682754380 4 1 115691 28923 
1682758435 3 0 93290 31097 
1682758702 11 1 241720 21975 
1682759197 4 4 95496 23875 
1682759470 1 1 42754 42759 
1682760051 1 0 28083 28085 
1682766100 2 2 58562 29282 
1682925804 17 8 305749 17985 
1682927640 2 0 69398 34700 
1682929983 2 0 66774 33388 
1682929986 1 1 43676 43678 
1682929999 1 1 36798 36798 
1682930452 1 1 42303 42304 
1682930467 2 1 61308 30655 
1682930677 2 0 69991 34996 
1682930722 5 2 150025 30005 
1682930908 12 3 282032 23502 
1682931770 5 1 122188 24437 
1682931786 3 0 95837 31947 
1682931865 5 1 140513 28103 
1682931967 4 2 120226 30056 
1682932066 5 1 128474 25695 
1682932134 5 0 102255 20451 
1682932146 3 0 73969 24656 
1682932283 2 1 48104 24053 
1682932321 1 0 44389 44391 
1682932352 1 0 39385 39387 
1682932449 10 3 178847 17884 
1682932623 5 1 82305 16461 
1682932651 7 1 122485 17498 
1682932804 2 0 48312 24157 
1682932848 3 1 68775 22925 
1682932861 1 0 29018 29020 
1682933034 2 0 46185 23094 
1682933049 3 1 58969 19656 
1682934178 4 1 81388 20347 
1682934198 6 0 120375 20062 
1682934206 3 3 69888 23296 
1682934683 4 0 88407 22102 
1682934701 4 2 85384 21346 
1682934712 1 1 42752 42754 
1682935083 2 1 57534 28767 
1682935118 12 5 233227 19435 
1682935382 3 0 56163 18721 
1682936077 4 2 86393 21598 
1682936171 109 29 1469516 13481 
1682936230 5 0 96004 19201 
1682936244 8 2 137722 17215 
1682936320 2 2 48741 24371 
1682936328 11 7 169168 15379 
1682978968 3 0 66089 22030 
1683043376 5 1 85924 17185 
1683439432 3 0 70747 23583 
