-hood ,/suff./@狀態;,/suff./@身分;
gripe ,/n./@腹痛;,/n./@腸絞痛;,/n./@不滿;,/n./@牢騷;,/n./@抱怨;,/vi./@腹痛;,/vi./@腸絞痛;,/vt./@握緊;,/vt./@抓牢;,/vi./@訴苦;,/vi./@抱怨;,/vi./@發牢騷;
groan ,/v./@呻吟;
groom ,/n./@新郎;,/vt./@刷洗;,/vt./@打扮;,/vt./@梳洗;,/n./@馬伕;,/vt./@照料;,/vt./@準備;,/vt./@培訓;,/vt./@培養;
gross ,/adj./@總的;,/adj./@粗糙的;,/adj./@粗野的;,/adj./@惡劣的;
group ,/n./@組;,/n./@團體;,/n./@集團;
growl ,/v./@咆哮;
gruff ,/adj./@粗暴的;
grunt ,/v./@咕噥;
guard ,/v./@守衛;
guess ,/v./@猜;,/n./@猜測;
guest ,/n./@客人;
guide ,/v./@引導;,/v./@向导;,/n./@向导;,/n./@指南;,/v./@指导;
guild ,/n./@行會;
guise ,/n./@外觀;,/n./@外表;,/n./@偽裝;,/n./@形式;,/n./@外貌;,/n./@裝束;
gulag ,/n./@集中營;
gusty ,/adj./@陣風的;
hairy ,/adj./@多毛的;
halve ,/v./@減半;
hance ,/n./@供腰;
handy ,/adj./@便利的;
happy ,/adj./@快樂的;
Harry ,/n./@哈利;
harsh ,/adj./@嚴厲的;
haste ,/n./@極速;,/n./@急忙;
hasty ,/adj./@草率的;,/adj./@匆忙的;
hatch ,/v./@孵化;,/n./@艙門;,/n./@艙口;
haunt ,/v./@縈繞;,/v./@作祟;
haven ,/n./@避難所;,/n./@港灣;
havoc ,/n./@浩劫;,/n./@破坏;,/n./@毁坏;,/n./@混乱;
heady ,/adj./@興奮的;,/adj./@任性的;
heart ,/n./@心;
heave ,/v./@起伏;,/v./@舉起;,/v./@嘆氣;
heavy ,/adj./@重的;,/adj./@嚴重的;,/adv./@劇烈地;
hedge ,/n./@樹籬;,/n./@籬笆;,/n./@障礙;
hefty ,/adj./@重的;,/adj./@健壮的;,/adj./@有力的;
hello ,/int.//n./@你好;
hence ,/adv./@因此;
hepta ,/pref./@七;
hight ,/v./@取名;
hijab ,/n./@希賈布;,/n./@哈吉布;
hobby ,/n./@業余愛好;
hoist ,/vt./@舉起;,/vt./@升起;,/vt./@吊起;,/vt./@提起;
hokum ,/n./@噱頭;,/n./@胡言;,/n./@胡扯;
holly ,/n./@冬青;
honey ,/n./@蜂蜜;
honor ,/n./@榮譽;,/n./@名譽;,/n./@光榮;,/n./@敬意;,/n./@榮幸;
horde ,/n./@大羣;,/n./@羣;,/n./@遊牧部落;
horny ,/adj./@淫蕩的;,/adj./@角狀的;
horse ,/n./@馬;
hound ,/v./@追獵;,/v./@煩擾;
house ,/n./@房子;
hover ,/v./@盤旋;,/v./@翺翔;,/v./@徘徊;
human ,/n./@人類;,/adj./@人類的;
humid ,/adj./@湿的;,/adj./@潮濕的;
humor ,/redirected./@target="humour";
humus ,/n./@腐殖質;
hunch ,/n./@預感;,/n./@直覺;,/vi./@弓身;,/vt./@隆起;
hunky ,/adj./@结实性感的;
hurry ,/n./@匆忙;,/v./@趕緊;
hyena ,/n./@鬣狗;
hyoid ,/n./@舌骨;,/adj./@舌骨的;
hyper ,/redirected./@target="hyperactive";
hypo- ,/pref./@在下;,/pref./@低;
ideal ,/adj./@理想的;
idiom ,/n./@成語;,/n./@習語;
idiot ,/n./@笨蛋;,/n./@白痴;,/n./@傻子;
Iliad ,/n./@伊里亞特;
image ,/n./@印象;,/n./@形象;,/n./@圖像;
imbue ,/v./@灌輸;,/v./@感染;,/v./@滲透;
imply ,/v./@暗示;,/v./@意味;
incur ,/v./@遭受;
index ,/n./@索引;,/n./@指標;,/n./@指針;
India ,/n./@印度;
indie ,/n./@獨立制片人;,/adj./@獨立的;
inert ,/adj./@惰性的;,/adj./@遲緩的;,/adj./@呆滯的;,/adj./@無效的;
infer ,/v./@推論;,/vt./@推斷;,/vt./@意味著;
infix ,/n./@中綴;
infra ,/adj.//pref./@在下;
inlet ,/n./@入口;,/n./@進口;,/n./@水灣;,/v./@引入;,/v./@嵌入;,/v./@插入;
inner ,/adj./@內部的;
input ,/v./@輸入;
inter ,/pref./@相互;
intro ,/abbr./<introduction>@介紹;
issue ,/n./@問題;,/n./@發行;,/v./@發行;,/n./@事件;
ivory ,/n./@象牙;,/adj./@象牙色的;,/n./@象牙色;
jewel ,/n./@珠寶;,/n./@寶石;
joint ,/adj./@共同;
joker ,/n./@愛開玩笑的人;
joust ,/n./@競技;,/n./@廝打;
judge ,/v./@判斷;,/n./@法官;,/v./@審判;
juice ,/n./@果汁;
kinky ,/adj./@古怪的;,/adj./@怪癖的;,/adj./@奇怪的;
kneel ,/vi./@跪;
knife ,/n./@刀;
known ,/v./@知道;
kodak ,/n./@柯達;
kraut ,/n./@酸泡菜;,/n./@德國人;
label ,/n./@標簽;,/n./@商標;
labor ,/n./@勞動;
lager ,/n./@貯藏啤酒;,/n./@窖藏啤酒;
lance ,/n./@长矛;,/n./@柳叶刀;,/v./@冲进;,/v./@急速前进;
lapel ,/n./@翻領;
lapse ,/v./@流逝;,/n./@流逝;,/n./@失誤;,/n./@間隔;
large ,/adj./@大的;
lasso ,/n./@套索;,/v./@拉攏;,/v./@套捕;
latch ,/n./@门闩;,/n./@弹簧锁;,/vt./@閂上;
later ,/adv./@后來;,/adv./@稍後;,/adj./@更遲的;
lathe ,/n./@車床;
Latin ,/n./@拉丁語;,/n./@拉丁人;,/adj./@拉丁語的;,/adj./@拉丁人的;
laugh ,/v./@笑;
laver ,/n./@紫菜;,/n./@水盆;
layer ,/n./@層;,/n./@階層;,/n./@地層;
learn ,/v./@學習;
lease ,/n./@租約;,/n./@租期;,/v./@出租;
leash ,/n./@皮帶;,/v./@束縛;
least ,/n./@至少;
leave ,/v./@離開;
ledge ,/n./@壁架;,/n./@岩架;,/n./@暗礁;,/n./@礦脈;
leech ,/n./@水蛭;
leery ,/adj./@机敏的;,/adj./@狡猾的;,/adj./@猜疑的;
legal ,/adj./@合法的;
legit ,/adj./@合法的;,/adj./@正統的;
lemme ,/abbr./@讓我;
leper ,/n./@麻风病人;
let's ,/n.v./@我們去;
level ,/n./@水平;,/n./@級別;
lever ,/n./@槓桿;
libel ,/n./@誹謗;,/n./@誹謗罪;,/n./@誹謗性文字;,/vt./@誹謗;
libra ,/n./羅馬@磅;,/n./@里拉;
Libra ,/n./@天秤座;,/n./@天秤宮;
lidar ,/n./@激光雷達;
light ,/n./@光;,/adj./@輕的;
liken ,/v./@比拟;,/v./@比作;
lilac ,/n./@丁香;,/adj./@淡紫色的;
limbo ,/n./@地獄的邊境;
limit ,/n./@限制;,/v./@限制;
linen ,/n./@亞麻;,/adj./@亞麻的;
liner ,/n./@班輪;,/n./@班機;,/n./@襯裡;,/n./@襯墊;
lingo ,/n./@行話;
links ,/v./@鏈接;
litre ,/n./@升;
liver ,/n./@肝脏;
lobby ,/n./@前廳;,/v./@遊說;,/n./@大堂;
local ,/adj./@當地的;
lodge ,/n./@旅館;,/n./@門房;,/v./@提出;,/v./@寄存;,/v./@寄宿;
logic ,/n./@邏輯;
login ,/v./@登錄;,/v./@注冊;,/n./@登錄;
Logos ,/n./神的@話;,/n./神的@道;
loose ,/adj./@松的;
louse ,/n./@虱子;
lousy ,/adj./@討厭的;,/adj./@污穢的;,/adj./@糟糕的;,/adj./@滿是蝨子的;,/adj./@噁心的;
lover ,/n./@情人;
lower ,/v./@放下;,/adj./@較低的;
loyal ,/adj./@忠誠的;
lucid ,/adj./@透明的;,/adj./@明晰的;
lucky ,/adj./@幸運的;
lumen ,/n./@流明;
lunar ,/adj./@月亮的;,/adj./@陰歷的;
lunch ,/n./@午餐;
lunge ,/v./@刺;,/v./@躍進;
lycee ,/n./@國立高等學校;
lymph ,/n./@淋巴;,/n./@淋巴液;
lynch ,/n./@私刑;,/v./@私刑處死;
lyric ,/n./@歌詞;,/n./@抒情詩;
macho ,/adj./@大男子氣概的;
madam ,/n./@夫人;,/n./@太太;,/n./@女士;
mafia ,/n./@黑手黨;
magic ,/n./@魔術;
major ,/adj./@主要的;
mango ,/n./@芒果;
mania ,/n./@狂熱;
march ,/v./@行進;,/n./@行軍;,/n./@進軍;,/vi./@行軍;,/vi./@進軍;
March ,/n./@三月;
match ,/v./@競賽;,/v./@相配;,/n./@火柴;,/v./@敵得過;,/n./@對手;
maths ,/n./@數學;
matte ,/adj./@亞光的;,/adj./@暗淡的;,/adj./@無光澤的;
maxim ,/n./@格言;,/n./@準則;,/n./@座右銘;
maybe ,/adv./@也許;
means ,/n./@方法;,/n./@手段;,/v./@意味著;
meant ,/v./@有意;
media ,/n./@媒體;
medic ,/n./@衛生員;,/n./@軍醫;,/n./@醫生;,/n./@醫學生;,/n./@醫科學生;
melee ,/n./@混戰;
melon ,/n./@瓜;,/n./@甜瓜;
mercy ,/n./@仁慈;
merge ,/v./@結合;
merit ,/n./@優點;,/n./@功績;
meson ,/n./@介子;
metal ,/n./@金屬;,/adj./@金屬制的;
meter ,/n./@量器;,/n./@儀表;
meth- ,/pref./@甲基的;
meths ,/redirected./@target="methylated spirits";
metre ,/n./@米;
metro ,/n./@地鐵;,/adj./@大城市的;
micra ,/redirected./@target="micron";
midst ,/n./@中間;
might ,/aux./@可能;,/n./@勢力;,/n./@威力;
mimic ,/v./@模仿;,/adj./@模仿的;
mince ,/v./@切碎;,/vt./@剁碎;,/n./@碎末;,/n./@碎塊;
minor ,/adj./@较小的;,/adj./@次要的;,/adj./@轻微的;,/adj./@小调的;,/vi./@辅修;,/n./@辅修科目;
minus ,/v./@減;,/n./@符號;,/adj./@負的;
mirth ,/n./@歡笑;,/n./@歡樂;
miser ,/n./@守財奴;,/n./@吝嗇鬼;
misty ,/adj./@模糊的;,/adj./@有霧的;
modal ,/adj./@模式的;,/adj./@情態的;,/adj./@形式的;,/adj./@形態上的;
model ,/n./@模型;,/v./@模仿;
mogul ,/n./@大亨;,/n./@巨头;,/n./@显要人物;
moist ,/adj./@潮濕的;
moldy ,/adj./@發霉的;,/adj./@陳腐的;
money ,/n./@錢;
month ,/n./@月;
moose ,/n./@麋;,/n./@北美麋;,/n./@驼鹿;
moral ,/adj./@道德的;,/n./@教訓;
moron ,/n./@傻子;,/n./@笨蛋;
morph ,/n.v./@詞態;,/v./@改變;
motel ,/n./@汽車旅館;
motif ,/n./@主題;,/n./@基調;,/n./@主旨;,/n./@基本圖案;
motto ,/n./@座右銘;,/n./@格言;,/n./@訓言;
mould ,/n./@霉菌;,/n./@模具;,/n./@型;,/v./@發霉;,/v./@澆鑄;
mound ,/n./@堆;,/v./@堆起;
mourn ,/v./@哀嚎;
mouse ,/n./@老鼠;
mouth ,/n./@口;
moved ,/adj./@感動的;,/adj./@被移動的;
movie ,/n./@電影;
mulch ,/n./@護根;,/n./@護蓋物;
mural ,/n./@壁画;
murky ,/adj./@黑暗的;,/adj./@昏暗的;,/adj./@陰鬱的;,/adj./@浑浊的;,/adj./@不可告人的;
music ,/n./@音樂;
musty ,/adj./@發霉的;,/adj./@落伍的;,/adj./@冷淡的;
mutex ,/n./@互斥;,/n./@互斥體;
naive ,/adj./@天真的;,/adj./@幼稚的;
nasal ,/adj./@鼻的;,/adj./@鼻音的;
nasty ,/adj./@肮脏的;,/adj./@下流的;,/adj./@令人作嘔的;,/adj./@令人難受的;,/adj./@惡劣的;,/adj./@惡意的;,/adj./@嚴重的;,/adj./@討厭的;,/adj./@齷齪的;
natal ,/adj./@出生的;
naval ,/adj./@海军的;
navel ,/n./@脐;,/n./@中心;
needy ,/adj./@贫穷的;,/n./@穷人;
Negro ,/n./@黑人;
nerve ,/n./@神經;,/n./@膽量;
never ,/adv./@從來不;,/adv./@從不會;
niche ,/n./@壁龕;,/n./@合適的職業;,/n./@專營市場;,/n./@生態龕;,/n./@生態位;,/n./@適宜的小環境;,/n./@利基;
night ,/n./@晚上;
noble ,/adj./@髙貴的;,/n./@貴族;
noise ,/n./@噪音;,/n./@聲音;
nomad ,/n./@流浪者;,/n./@游牧者;
north ,/n./@北方;
notch ,/n./@劃痕;,/n./@凹口;,/n./@等級;,/n./@峽谷;,/v./@贏得;
novel ,/adj./@新穎的;
nowel ,/n./@阻力;
nudge ,/v./@推動;,/v./@輕推;,/v./@推進;,/n./@輕推;
nurse ,/n./@護士;,/v./@看護;,/v./@護理;
nymph ,/n./@女神;,/n./@仙女;,/n./@美麗的少女;,/n./@蛹;
oasis ,/n./@綠洲;
obese ,/adj./@肥胖的;,/adj./@過胖的;
occur ,/vi./@发生;
ocean ,/n./@海洋;
ochre ,/n./@赭石;,/adj./@赭石色的;,/n./@赭石色;
octal ,/adj./@八進制的;
odour ,/n./@氣味;
offer ,/v./@提供;
often ,/adv./@經常;
olive ,/n./@橄欖;
omni- ,/pref./@全;
onion ,/n./@洋葱;,/n./@圆葱;
onset ,/n./@開始;,/n./@着手;,/n./@發作;,/n./@攻擊;
opine ,/v./@以爲;,/v./@想;,/v./@認爲;
opium ,/n./@鴉片;
orbit ,/n./@軌道;,/n./@運行軌道;,/n./@勢力範圍;,/n./@眼窩;,/vt./@環繞;,/vi./@繞軌道運行;
order ,/n./@順序;,/v./@命令;,/n./@組織;
organ ,/n./@器官;,/n./@風琴;,/n./@機構;
other ,/adj./@其它的;
ought ,/v./@應該;
ounce ,/n./@盎司;,/n./@英兩;,/n./常衡@1/16磅的量;,/n./@液盎司;,/n./@1/16品脫的量;
outer ,/adj./@外部的;,/adj./@外面的;
outre ,/pref./@過度的;
overt ,/adj./@明顯的;
ovoid ,/n./@卵形物;
owner ,/n./@所有者;,/n./@持有者;
oxide ,/n./@氧化物;
ozone ,/n./@臭氧;
padre ,/n./@神父;
paean ,/n./@歡樂頌;
pagan ,/adj./@異教的;,/n./@異教徒;
pager ,/n./@傳呼機;,/n./@傳呼器;,/n./@尋呼機;,/n./@呼機;
paint ,/v./@繪畫;
panel ,/n./@嵌板;,/n./@儀表盤;
panic ,/n./@恐慌;
pants ,/n./@褲子;
param ,/n./@參數;
parch ,/v./@烤;
paren ,/n./@括弧;,/n./@括号;
parka ,/n./@派克大衣;,/n./@有頭套的毛皮外套;
parse ,/v./@解析;
party ,/n./@派對;,/n./@黨派;
paste ,/v./@粘貼;
patch ,/n./@補丁;,/n./@眼罩;
patio ,/n./@露臺;,/n./@天井;
patty ,/n./@肉餅;,/n./@餡餅;
pause ,/v./@暫停;
peace ,/n./@和平;,/n./@安靜;,/adj./@安靜的;
peach ,/n./@桃子;
pearl ,/n./@珍珠;
pedes ,/n./@足;
peeve ,/v./@惹惱;,/n./@氣惱;
pekoe ,/n./@白毫;
pence ,/redirected./@target="penny";
penis ,/n./@陰莖;
penny ,/n./@便士;
penta ,/pref./@五;
peril ,/n./@危險;
petal ,/n./@花瓣;
phone ,/n./@電話;
phony ,/adj./@虛假的;
piano ,/n./@鋼琴;
picky ,/adj./@挑剔的;
piece ,/n./@片;,/n./@塊;
piety ,/n./@虔誠;,/n./@孝敬;
piker ,/n./@膽小鬼;
pilot ,/n./@飛行員;
pinch ,/v./@捏;,/v./@掐;,/v./@擠;,/n./@捏;,/n./@撮;,/n./@少量;
pious ,/adj./@虔誠的;
pitch ,/vt./@投擲;,/n./@強度;,/n./@音高;,/n./@场地;,/vt./@投;,/vt./@擲;,/n./@投球;,/n./@傾斜度;,/n./@顛簸;,/vt./@搭@(帳篷);,/vt./@紮@(營);
pivot ,/n./@樞軸;,/n./@中心點;,/adj./@樞軸的;
pixel ,/n./@像素;
place ,/n./@地點;
plaid ,/n./@彩格呢;,/n./@彩格布;,/n./@格子圖案;,/n./@彩格披肩;
plain ,/adj./@原始的;,/adj./@樸素的;,/n./@平原;
plait ,/n./褶;,/v./@編織;
plane ,/n./@飛機;
plank ,/n./@板;,/n./@木板;,/n./@基礎;,/n./@要點;,/n./@政綱;
plant ,/n./@植物;,/v./@栽培;,/n./@工廠;
plate ,/n./@盤子;,/n./@盤;,/n./@金屬板;,/n./@薄板;,/n./@印版;,/n./@金屬牌;
plead ,/v./@請求;,/v./@乞求;
pleat ,/v./@打褶;
pluck ,/v./@拉;,/v./@拽;,/v./@扯;,/n./@勇氣;,/n./@内臟;
plumb ,/n./@鉛錘;,/n./@垂直;,/v./@探測;,/v./@垂直;,/adj./@垂直的;,/adv./@正好;,/adv./@恰恰;,/vt./@用鉛錘測量;,/vt./@探究;,/vt./@探索;
plume ,/n./@羽毛;,/n./@羽飾;,/n./@羽狀物;,/n./@縷;
plush ,/n./@長毛絨;,/n./@厚絨布;,/adj./@长毛绒的;,/adj./@豪華的;,/adj./@奢侈的;
Pluto ,/n./@冥王星;,/n./@冥王;
poach ,/vt./@偷獵;,/vt./@偷捕;
point ,/v./@指出;
poise ,/v./@平衡;,/n./@平衡;,/n./@鎮定;,/n./@懸停;
poker ,/n./@撲克;
polar ,/adj./@極的;
porch ,/n./@門廊;
porno ,/n./@色情;
posit ,/vt./@假設;,/vt./@假定;
potty ,/n./@厠所;,/n./@便壺;
pound ,/n./@磅;,/n./@英鎊;,/vt./@搗碎;,/vt./@猛擊;,/vt./@敲打;,/n./@16盎司的量;
power ,/n./@能量;,/n./@力;,/n./@權力;
prank ,/n./@惡作劇;
prawn ,/n./@對蝦;,/n./@明蝦;,/v./@捕蝦;
press ,/v./@壓;,/v./@催促;,/v./@逼迫;,/n./@出版社;
prick ,/v./@刺;,/v./@竪起;,/n./@陰莖;
pricy ,/redirected./@target="pricey";
pride ,/n./@驕傲;
prime ,/adj./@首要的;,/adj./@第一的;
print ,/v./@打印;
prior ,/adv./@優先的;,/adv./@在前;,/n./@修道院院長;,/n./@大修道院副院長;
prism ,/n./@棱鏡;,/n./@棱柱;
probe ,/v./@探測;,/n./@探針;,/vt./@刺探;
prone ,/adj./@俯伏的;
proof ,/n./@證據;
prose ,/n./@散文;
proto ,/redirected./@target="proto-";
proud ,/adj./@驕傲的;
prove ,/v./@證明;,/v./@證實;
prude ,/n./@拘守禮儀的人;
pseud ,/adj./@假的;,/adj./@不誠實的;
pulse ,/n./@脈搏;
punch ,/v./@用拳擊;,/n./@鑽孔機;,/v./@開洞;
Punic ,/n./@布匿人;,/adj./@布匿的;,/adj./@迦太基人的;,/adj./@迦太基的;
pupil ,/n./@学生;,/n./@瞳孔;
purge ,/v./@凈化;
purse ,/n./@手提袋;
putty ,/n./@油灰;
Qatar ,/n./@卡塔爾;
qualm ,/n./@疑虑;,/n./@不安;
quart ,/n./@夸脫;,/n./@2品脫的量;,/n./@四分之一加侖;
quasi ,/adj./@準的;,/adj./@類似的;
queen ,/n./@女王;
queer ,/adj./@奇妙的;,/adj./@古怪的;
quell ,/v./@平息;,/v./@鎮壓;,/v./@減輕;
query ,/n./@詢問;,/v./@詢問;
quest ,/n./@追求;
queue ,/n./@隊列;,/n./@辮子;,/v./@排隊;
quick ,/adj./@快的;
quiet ,/adj./@安靜;
quilt ,/n./@被子;
quite ,/adv./@相當;
quoit ,/n./@套圈;
quota ,/n./@定額;,/n./@配額;
quote ,/v./@引用;
rabid ,/adj./@激烈的;,/adj./@狂暴的;,/adj./@偏激的;
radar ,/n./@雷達;
radio ,/n./@無綫電;,/n./@收音機;
radix ,/n./@根;,/n./@基數;
raise ,/v./@養活;,/v./@積攢;,/v./@種植;
rally ,/v./@團結;,/n./@集會;
ramen ,/n./@拉麵;,/n./@麵條;
ranch ,/n./@牧場;
range ,/n./@範圍;,/n./@幅度;,/n./@排;,/n./@山脈;,/v./@平行;,/v./@延伸;,/v./@漫遊;,/v./@並列;,/v./射程@達;
rapid ,/adj./@快速的;
ratio ,/n./@比率;
razor ,/n./@刮鬍刀;,/n./@剃刀;,/n./@剃鬚刀;
reach ,/v./@到達;
react ,/v./@反應;
ready ,/adj./@准備好@的;
realm ,/n./@領域;,/n./@王國;,/n./@領土;,/n./@範圍;,/n./@疆域;,/n./@疆界;,/n./@國土;
rebel ,/n./@反叛;
rebut ,/v./@反駁;,/v./@駁囘;,/v./@揭露;,/n./@反駁;
recur ,/v./@再發生;,/v./@復發;
refer ,/v./@參考;
regal ,/adj./@帝王的;,/adj./@王室的;,/adj./@莊嚴的;,/adj./@豪華的;
rehab ,/n./@康复;,/vt./@修复;
reign ,/v./@統治;,/v./@支配;
relax ,/v./@放松;
relay ,/v./@转播;,/v./@中继;,/v./@傳達;,/v./@轉達;,/n./@輪換者;,/n./@接力賽;,/n./@中繼轉播;,/n./@繼電器;
relic ,/n./@遺產;
repay ,/vt./@歸還;
repel ,/v./@抵制;,/v./@擊退;,/v./@排斥;,/v./@驅離;
reply ,/v./@囘應;
retch ,/v./@作嘔;
retro ,/n./@制動;,/n./@減速;,/n./@反向;
revel ,/v./@狂歡;,/n./@狂歡;
rhyme ,/n./@韻;,/n./@韻腳;,/n./@押韻;,/v./@押韻;
ridge ,/n./@山脈;,/n./@山脊;,/n./@屋脊;
rifle ,/n./@步槍;,/n./@來復槍;
right ,/adj./@對的;,/adj./@右邊的;
rigid ,/adj./@嚴格的;,/adj./@死板的;,/adj./@堅硬的;,/adj./@嚴密的;
rigor ,/n./@嚴肅;,/n./@严密;
rinse ,/v./@漂洗;,/v./@沖洗;,/vt./@漱;,/n./@沖洗;,/n./@漂洗;,/n./@漱口液;,/n./@染髮;,/n./@染髮劑;
risky ,/adj./@冒險的;,/adj./@有風險的;,/adj./@危險的;,/adj./@大膽的;,/adj./@有傷風化的;
rival ,/n./@競爭;,/n./@對手;
river ,/n./@河流;
rivet ,/n./@鉚釘;,/vt./@鉚;,/vt./@鉚接;,/vt./@固定;
roast ,/v./@烤;,/adj./@烤的;
robot ,/n./@機器人;
rogue ,/n./@流氓;
Rolex ,/n./@勞力士;
Roman ,/n./@羅馬人;
rotor ,/n./@轉子;,/n./@轉片;
rough ,/adj./@粗糙的;
round ,/v./@圓的;,/prep./@附近;
route ,/n./@路徑;,/n./@路綫;
royal ,/adj./@皇家的;,/adj./@王室的;
ruddy ,/adj./@紅的;
rugby ,/n./@英式橄欖球;
ruler ,/n./@格尺;,/n./@統治者;
rules ,/n./@規則;
rural ,/adj./@鄉村的;
sable ,/n./@紫貂;,/n./@黑貂;,/n./@貂皮;
salad ,/n./@色拉;,/n./@涼拌菜;
salon ,/n./@沙龍;,/n./@客廳;,/n./@畫廊;
salty ,/adj./@鹹的;,/adj./@含鹽的;,/adj./@粗俗的;
samen ,/n./@精液;
sauce ,/n./@沙司;,/n./@醬油;,/n./@调味汁;
savor ,/n./@滋味;,/n./@氣味;,/n./@食欲;,/v./@品嘗;
savvy ,/n./@常识;,/n./@悟性;,/adj./@精明的;,/vt./@懂;,/vt./@知曉;
scale ,/n./@魚鱗;,/n./@規模;,/n./@刻度;,/n./@比例;,/n./@等級;,/n./@秤;,/n./@天平;,/n./@秤盤;
scalp ,/n./@頭皮;,/n./@帶髮頭皮;,/n./@戰利品;,/vt./@轉手倒賣;,/vt./@剝下頭皮;,/vt./@严惩;
scant ,/adj./@不足的;,/adj./@貧乏的;,/adj./@缺乏的;,/adj./@勉強夠的;
scape ,/n./@花莖;,/n./@觸角根;,/n./@羽軸;,/n./@柱身;
scare ,/v./@驚嚇;
scarf ,/n./@圍巾;
scary ,/adj./@提心弔膽的;,/adj./@膽小的;
scend ,/v./@船上升;,/n./@波浪的推動力;
scene ,/n./@場面;,/n./@場景;,/n./@事件;
scent ,/n./@氣味;
scoff ,/v./@嘲笑;
scold ,/v./@訓斥;
scone ,/n./@烤鬆餅;,/n./@司康;
scoop ,/v./@掘;,/v./@舀取;,/n./@勺子;,/n./@鏟子;
scope ,/n./@範圍;,/n./@余地;,/n./@機會;
score ,/n./@得分;,/n./@成績;,/v./@得分;
scorn ,/v./@蔑視;,/v./@嘲諷;
scour ,/v./@沖刷;,/v./@擦;
scout ,/vt./@偵察;,/vt./@搜索;,/n./@斥候;,/n./@偵察員;,/n./@偵察兵;,/n./@偵察;
scowl ,/v./@愁容;
scram ,/vi./@走開;,/vi./@滚开;
scrap ,/n./@碎片;,/n./@廢棄物;,/n./@片段;
scrub ,/v./@擦洗;,/n./@矮樹;
scull ,/n./@短槳;,/n./@賽艇;,/v./@搖槳;,/v./@划船;
sedan ,/n./@轎子;,/n./@小轎車;
segue ,/n./@繼續;
seize ,/v./@抓住;,/v./@奪取;
semen ,/n./@精液;
semi- ,/pref./@半;,/pref./@部分的;,/pref./@不完全的;
sense ,/n./@感覺;,/n./@道理;,/n./@理智;
sepia ,/n./@烏賊;,/adj./@深褐色的;
serie ,/n./@係列;
serve ,/v./@服務;,/v./@服役;,/v./@任職;
seven ,/n./@七;
sever ,/v./@割斷;,/v./@分開;,/vt./@斷絕;,/vt./@中斷;,/vt./@切斷;
shack ,/n./@棚屋;
shade ,/n./@樹蔭;,/n./@陰影;,/n./@色度;,/n./@濃淡;,/n./@細微的差別;
shaft ,/n./@豎井;,/n./@軸桿;,/n./@柄;,/v./@利用;,/n./@箭桿;,/n./@通風井;,/n./@升降機井;
shake ,/v./@搖;,/v./@抖;
shaky ,/adj./@搖晃的;,/adj./@顫抖的;,/adj./@不穩固的;,/adj./@發抖的;,/adj./@不可靠的;,/adj./@成問題的;
shale ,/n./@頁岩;,/n./@泥板岩;
shall ,/aux./@應該;
shame ,/n./@羞恥;
shape ,/n./@形狀;
shard ,/n./@碎片;
share ,/v./@分享;,/n./@份額;
shark ,/n./@鲨魚;
sharp ,/adj./@鋒利的;
shave ,/v./@剃;,/v./@刮;,/v./@修;,/v./@削;
shear ,/v./@剪;,/v./@切割;
sheep ,/n./@綿羊;
sheer ,/adj./@陡峭的;,/adj./@全然的;,/adj./@完全的;,/adj./@純粹的;,/adj./@極薄的;
sheet ,/n./@紙張;
sheft ,/n./@軸;
shelf ,/n./@架子;,/n./@櫥子;
shell ,/n./@殻;
shift ,/v./@移動;,/v./@轉換;,/v./@變化;,/n./@轮班;
shine ,/v./@閃耀;
shock ,/v./@震驚;
shoot ,/v./@拍攝;,/v./@射擊;
shore ,/n./@岸;,/n./@濱;
short ,/adj./@短的;
shout ,/v./@叫喊;
shove ,/v./@推擠;
shred ,/v./@切碎;
shrug ,/v./@聳;,/v./@聳肩;
siege ,/v./@包圍;,/v./@圍攻;
sieve ,/n./@篩子;,/n./@濾網;
sight ,/n./@情景;,/n./@視力;
sigil ,/n./@印章;,/n./@魔符;
silly ,/adj./@傻的;
simth ,/n./@匠;
since ,/prep./@自從;,/conj./@因爲;
siren ,/n./@警笛;,/n./@汽笛;,/n./@迷人的女人;,/adj./@迷人的;,/v./@引誘;
skate ,/n./@冰鞋;,/v./@滑冰;
skill ,/n./@技巧;
skirt ,/n./@裙子;
skull ,/n./@顱骨;
slack ,/adj./@鬆弛的;,/adj./@懈怠的;,/adj./@懶散的;,/adj./@蕭條的;,/adj./@遲緩的;,/adj./@呆滯的;,/adj./@平緩的;
slain ,/v./@殺害@<slay的過去式>;
slang ,/n./@俚語;,/vt./@谩骂;
slant ,/v./@傾斜;,/n./@傾斜;
slash ,/v./@猛砍;,/v./@鞭打;
slate ,/n./@石板;,/n./@板巖;
slave ,/n./@奴隸;
sleep ,/v.//n./@睡覺;
slice ,/n./@薄片;,/v./@切下;
slick ,/adj./@光滑的;,/n./@平滑器;,/v./(使)@光滑;
slide ,/v./@滑動;,/n./@幻燈片;
slink ,/v./@潛逃;,/v./@早產;
slope ,/n./@斜坡;,/n./@山坡;,/n./@倾斜;,/vi./@倾斜;
sloth ,/n./@懶惰;,/n./@樹懶;
slump ,/v./@下降;,/n./@衰退;
smack ,/n./@滋味;,/n./@少量;,/n./@掌掴;,/n./@猛然;,/vt./@猛拍;,/vt./@摑;
small ,/adj./@小的;
smart ,/adj./@聰明的;,/adj./@智慧的;,/adj./@時尚的;
