-hood ,/suff./@狀態;,/suff./@身分;
aloof ,/adj./@冷淡的;
alpha ,/n./@α;
altar ,/n./@聖壇;
alter ,/v./@改變;,/vt./@更改;,/vt./@改動;
amass ,/vt./@積聚;,/vt./@收集;
amaze ,/v./@震驚;
amber ,/n./@琥珀;,/adj./@琥珀色的;
amble ,/vi./@緩行;
amend ,/v./@修訂;,/v./@賠償;
amity ,/n./@友好關係;
among ,/prep./在...@之間;
amour ,/n./@偷情;,/n./@私通;,/n./@戀情;
ample ,/adj./@足夠的;
amuse ,/vt./@取悅;,/vt./使@快樂;
angel ,/n./@天使;
angle ,/n./@角;
angry ,/adj./@生氣的;
ankle ,/n./@踝;
annoy ,/v./@惹惱;,/v./@(使)煩惱;
annul ,/v./@宣告無效;
antic ,/adj./@滑稽可笑的;
antsy ,/adj./@烦躁的;,/adj./@焦躁的;,/adj./@急躁的;,/adj./@不耐煩的;,/adj./@迫不及待的;,/adj./@坐立不安的;,/adj./@急切的;
aorta ,/n./@主動脈;
apart ,/adv./@分離;,/adj./@分離的;
appal ,/v./@驚嚇;,/v./@減弱;,/v./@變得蒼白;
apple ,/n./@苹果;
apply ,/v./@應用;,/v./@申請;
April ,/n./@四月;
ardor ,/n./@狂熱;
arena ,/n./@競技場;,/n./@角鬥場;,/n./@活動場所;,/n./@競爭場所;
argot ,/n./@隱語;
argue ,/v./@爭論;
armor ,/n./@裝甲;
aroma ,/n./@芳香;
array ,/n./@數組;,/n.//vt./@排列;
aside ,/adv./@在旁邊;,/adv./@撇開;
askew ,/adj./@歪斜的;,/adv./@歪斜地;
asset ,/n./@優點;,/n./@資產;
aster ,/n./@星狀體;,/n./@紫菀屬植物;
atone ,/v./@贖回;
attic ,/n./@閣樓;
audio ,/n./@音頻;
augur ,/v./@预示;,/v./@占卜;,/v./@预言;,/n./@预兆;,/n./@占卜官;,/n./@预言者;
aurum ,/n./@金;
auxil ,/n./@助動詞;
avail ,/v./ @有用;,/v./@有利;
avast ,/v./@停住;
avert ,/v./@防止;,/v./@避免;
avoid ,/v./@躲避;
awake ,/adj./@清醒;
award ,/n./@獎品;,/vt./@獎勵;
aware ,/v./@知道;
awash ,/adj./@被水覆蓋的;,/adj./@被浪潮沖打的;,/adj./@被海水沖刷的;
awful ,/adj./@可怕的;,/adj./@可觀的;
axial ,/adj./@軸的;,/adj./@軸向的;
axiom ,/n./@公理;,/n./@原理;,/n./@原則;,/n./@自明之理;
azure ,/adj./@蔚蓝的;,/adj./@碧蓝的;
bacon ,/n./@鹹肉;,/n./@熏肉;
badge ,/n./@徽章;,/n./@標記;
bagel ,/n./@硬面包圈;
baker ,/n./@麵包師;
banal ,/adj./@平庸的;,/adj./@陳腐的;,/adj./@陳詞濫調的;,/adj./@乏味的;
Bantu ,/n./@班圖人;,/n./@班圖語;
baron ,/n./@男爵;,/n./@領主;
basic ,/adj./@基礎的;,/adj./@基本的;
basin ,/n./@盆;,/n./@盆地;
basis ,/n./@基礎;
baton ,/n./@指揮棒;,/n./@接力棒;,/n./@警棍;,/n./@司令棒;
bawdy ,/adj./@猥褻的;,/adj./@下流的;,/adj./@賣淫的;
beach ,/n./@海灘;
beard ,/n./@胡須;
beast ,/n./@野獸;,/n./@牲畜;
begin ,/v./@開始;
beige ,/adj./@米黃色的;
being ,/v./@被;,/v./@正在;
belly ,/n./@腹部;,/n./@胃;
below ,/prep./在...之@下;
berth ,/v./@停泊;,/n./@泊位;
bible ,/n./@聖經;
bigot ,/n./@偏執者;,/n./@頑固者;,/n./@固執者;
binge ,/n./@狂歡;,/v./@狂歡;
biome ,/n./@生物羣係;,/n./@羣落;
biped ,/n./@兩足動物;
bitch ,/n./@婊子;
black ,/adj./@黑色的;
blade ,/n./@刃;
blame ,/v./@指責;,/v./@歸咎;,/v./@責備;
bland ,/adj./@平淡無奇的;,/adj./@平淡乏味的;,/adj./@枯燥乏味的;,/adj./@無刺激性的;,/adj./@清淡的;,/adj./@不動感情的;,/adj./@無動於衷的;
blast ,/v./@炸;,/v./@爆炸;
blaze ,/n./@光亮;,/n./@火光;
bleak ,/adj./@陰冷的;,/adj./@荒涼的;
bleed ,/v./@流血;
blend ,/v./@混合;
bless ,/v./@保佑;
blimp ,/n./@頑固分子;,/n./@小飛艇;
blind ,/adj./@盲的;
blink ,/v./@閃耀;,/v./@眨眼;
bliss ,/n./@福氣;,/n./@極樂;,/n./@狂喜;
block ,/v./@阻礙;,/n./@街區;
bloke ,/n./@傢夥;
blond ,/adj./@金髮的;
blood ,/n./@血;
bloom ,/v./@綻放;
bluff ,/v./@嚇唬;
blunt ,/adj./@鈍的;,/adj./@耿直的;,/adj./@直率的;,/adj./@不鋒利的;,/adj./@直截了當的;,/adj./@圓頭的;
blurt ,/v./@突然說出;
board ,/n./@板;
boast ,/v./@自誇;
boner ,/n./@大錯;
bonus ,/n./@獎金;,/n./@紅利;,/n./@津貼;
boost ,/v./@提髙;
booth ,/n./@貨攤;,/n./@電話亭;
booze ,/n./@酒宴;,/v./@豪飲;,/n./@酒;
bored ,/adj./@無聊的;
bosom ,/n./@胸;
bough ,/n./@大樹枝;,/n./@粗樹枝;
bound ,/vt./@束縛;,/n./@跳躍;,/n./@界限;
bowel ,/n./@腸;,/n./@內部;,/n./@深處;
brace ,/n./@大括號;,/n./@支架;,/n./@牙箍;,/n./@梏具;,/vi./@俯身抱头;,/vt./@加固;,/vt./@顶住;
brain ,/n./@頭腦;
brake ,/n./@刹车;,/n./@制动;,/vi./@刹车;
brand ,/n./@品牌;,/n./@商標;,/v./@烙;
brass ,/adj./@黃銅的;,/n./@黃銅;,/adj./@黃銅色的;,/n./@黃銅色;,/n./@黃銅製品;,/n./@銅管樂器;,/n./@厚臉皮;,/n./@厚顏無恥;
brave ,/adj./@勇敢的;
bravo ,/n./@喝彩;
brawl ,/n./@爭吵;,/n./@打架;,/vi./@斗殴;,/vi./@争吵;
bread ,/n./@麵包;,/n./@生計;
break ,/v./@破壞;
breed ,/v./@繁殖;,/v./@飼養;,/n./@品種;
bride ,/n./@新娘;
brief ,/adj./@簡短的;,/n./@簡報;,/n./@摘要;
bring ,/v./@帶來;
brink ,/n./@邊緣;
brisk ,/adj./@敏捷的;,/adj./@活躍的;,/adj./@凜冽的;
broad ,/adj./@寬的;,/adj./@寬闊的;,/adj./@廣闊的;,/adj./@遼闊的;
broke ,/adj./@被破壞的;
brood ,/n./@窩;,/v./@孵;,/v./@沉思;
broom ,/n./@掃帚;
broth ,/n./@燉湯;,/n./@高湯;,/n./@湯;
brown ,/adj./@棕色的;
brunt ,/n./@衝擊;,/n./@主要影響;,/n./@主要壓力;,/n./@主要衝力;,/n./@主要衝擊影響;,/n./@鋒芒;
brush ,/n./@刷;
