bilateral ,/adj./@兩邊的;,/adj./@雙邊的;,/adj./@左右對稱的;,/adj./@雙方的;
billboard ,/n./@广告牌;
bimonthly ,/n./@双月刊;
binocular ,/adj./@雙眼的;,/adj./@雙目的;,/adj./@雙眼用的;,/adj./@雙目鏡;,/adj./@雙筒望遠鏡;,/adj./@雙目顯微鏡;
biography ,/n./@传记;
biometric ,/adj./@生物特徵識別的;,/adj./@生物統計的;,/adj./@生物測定的;
biosphere ,/n./@生物圈;
blacklist ,/n./@黑名單;
blueprint ,/n./@藍圖;
bluetooth ,/n./@蓝牙;
bookshelf ,/n./@書架;
bootstrap ,/n./@引導程序;
botanical ,/adj./@植物學的;
boyfriend ,/n./@男朋友;
breakdown ,/n./@故障;,/n./@垮臺;,/n./@崩潰;,/n./@分析;,/n./@分解;,/n./@衰竭;
breakfast ,/n./@早餐;
briefcase ,/n./@公文包;
brillance ,/n./@明亮度;
brillancy ,/n./@明亮;,/n./@亮度;
brilliant ,/adj./@聪明的;
broadband ,/n./@宽带;
broadcast ,/n./@广播;
bumblebee ,/n./@熊蜂;,/n./@大黃蜂;
butterfly ,/n./@蝴蝶;
Cabbalism ,/redirected./@target="Kabbalism";
Cabbalist ,/redirected./@target="Kabbalist";
cafeteria ,/n./@自助餐廳;
Calabrian ,/n./@卡拉布里亞人;,/adj./@卡拉布里亞的;,/adj./@卡拉布里亞人的;
calculate ,/v./@计算;
calibrate ,/v./@矯正;
caliphate ,/n./@伊斯蘭王權;,/n./@阿拉伯帝國;
candidacy ,/n./@候選資格;,/n./@候選狀態;,/n./@候補資格;
canonical ,/adj./@權威的;,/adj./@規範的;,/adj./@標準的;,/adj./@典型的;
capillary ,/n./@毛细管;
capitulum ,/n./@章節;,/n./@篇;
Capricorn ,/n./@摩羯座;,/n./@摩羯宮;,/n./@南回歸線;
captivate ,/v./@迷住;
careerist ,/n./@野心家;,/n./@事业狂;
carefully ,/adv./@小心地;
carpenter ,/n./@木匠;
carpentry ,/n./@木匠活;
cartilage ,/n./@軟骨;
cartridge ,/n./@替芯;,/n./@替囊;,/n./@替盒;,/n./@替筒;,/n./@替匣;,/n./@彈藥筒;,/n./@彈殼;,/n./@彈膛;,/n./@子彈;,/n.//redirected./@target="ink cartridge";,/n.//redirected./@target="pen cartridge";,/n.//redirected./@target="magnetic tape cartridge";,/n.//redirected./@target="disk cartridge";,/n.//redirected./@target="record player cartridge";
cascading ,/n./@級聯;,/n./@串接;,/n./@階式滲透;
catalogue ,/n./@目錄;
Catalonia ,/n./@加泰羅尼亞;
catamaran ,/n./@雙體船;
catatonic ,/adj./@緊張性精神癥的;
causative ,/adj./@使役的;,/n./@使役動詞;,/adj./@作為原因的;
celebrate ,/v./@庆祝;
celebrity ,/n./@名人;
celestial ,/adj./@天国的;,/adj./@天空的;,/adj./@天体的;,/adj./@精妙的;
cellulose ,/n./@纖維素;
Centaurus ,/n./@半人馬座;,/n./@半人馬星座;
centurion ,/n./@百人隊隊長;
certainly ,/adv./@当然;
certainty ,/n./@必然;
challenge ,/n./@挑戰;,/v./@挑戰;,/v./@質問;
champagne ,/n./@香槟;
character ,/n./@性格;,/n./@角色;,/n./@特性;,/n./@字母;
charlatan ,/n./@吹牛者;,/n./@江湖郎中;
chauffeur ,/n./@司機;
checkmate ,/v./@將死;,/n./@挫敗;
chemistry ,/n./@化学;
chocolate ,/n./@巧克力;
chopstick ,/n./@筷子;
Christian ,/n./@基督徒;
cigarette ,/n./@香烟;
