banner ,/n./@旗幟;,/n./@橫幅;,/n./@標語;
banter ,/v./@戲虐;,/n./@打趣;,/vi./@談笑;,/vt./@取笑;
barley ,/n./@大麥;
barrel ,/n./@桶;,/n./@管;,/n./@槍管;,/n./@砲筒;,/n./@大桶;,/n./@一桶的量;,/n./@36加侖的量;
barren ,/adj./@不育的;,/adj./@貧瘠的;
barter ,/n./@易貨貿易;
baryon ,/n./@重子;
basalt ,/n./@玄武岩;
basket ,/n./@籃;
batter ,/vt./@重击;,/vt./@殴打;,/vi./@猛击;
battle ,/n./@戰爭;
bawdry ,/n./@猥褻;,/n./@賣淫;
bazaar ,/n./@集市;
beacon ,/n./@燈塔;
beaten ,/adj./@被打敗的;,/adj./@錘平的;,/adj./@踩出來的;,/adj./@踏硬的;
beauty ,/n./@美女;
become ,/v./@變成;
before ,/v./@前于;
behave ,/v./@行爲;
behest ,/n./@命令;,/n./@指示;
behind ,/v./@后于;
behold ,/v./@看;,/v./@註視;,/v./@瞧;
belief ,/n./@信仰;
bellow ,/v./@吼叫;
belong ,/v./@屬于;
benign ,/adj./@和善的;,/adj./@有益的;,/adj./@良性的;,/adj./@宜人的;
berate ,/v./@斥責;,/v./@訓斥;
bestow ,/v./@給予;,/v./@授予;
betray ,/v./@背叛;,/v./@出賣;
better ,/adj./@更好的;
beware ,/vi./@當心;,/v./@小心;,/v./@提防;
beyond ,/v./@超過;
biceps ,/n.//pl./@二头肌;
bidder ,/n./@出價人;,/n./@投標人;
biggie ,/n./@重要的事;,/n./@重要的人;
billet ,/n./@便條;,/n./@短簡;
binary ,/adj./@二進制的;,/adj./@二元的;
bitter ,/adj./@苦的;
blazon ,/v./@宣佈;,/v./@裝飾;
bleach ,/v./@漂白;
blight ,/n./@枯萎病;,/n./@荒蕪;,/n./@毀壞;,/n./@破壞;
blonde ,/adj./@金髮碧眼的;,/adj./@白膚金髮碧眼的;,/n./@金髮碧眼的女人;
blurry ,/adj./@模糊的;,/adj./@不清楚的;,/adj./@污髒的;
boiler ,/n./@鍋爐;,/n./@汽鍋;,/n./@蒸汽鍋;,/n./@燒水壺;,/n./@燒水鍋;
borage ,/n./@紫草科;,/adj./@紫草科的;
border ,/n./@邊界;
boring ,/adj./@無聊的;
borrow ,/v./@借;
botany ,/n./@植物學;
bother ,/v./@打擾;
bottle ,/n./@瓶子;
bottom ,/n./@底部;
bought ,/v./@買;
bounce ,/v./@彈起;,/n./@跳躍;
bovine ,/adj./@牛的;,/adj./@愚笨的;
branch ,/n./@分支;
brandy ,/n./@白蘭地酒;
brazen ,/adj./@厚顏無恥的;,/adj./@黃銅製的;,/adj./@黃銅色的;,/adj./@刺耳的;
breach ,/n./@違反;,/n./@違背;,/n./@缺口;,/vt./@違反;,/vt./@破壞;,/vt./@打破;
